央视,#genre#
CCTV1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000$百视通
CCTV1,https://live.goodiptv.club/api/cqyx.php?id=cctv1HD$重庆有线

CCTV2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000$百视通
CCTV2,https://live.goodiptv.club/api/cqyx.php?id=cctv2HD$重庆有线

CCTV3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000$百视通
CCTV3,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD$重庆有线
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8$IPV6-4K

CCTV4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000$百视通
CCTV4,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD$重庆有线

CCTV5,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000$百视通
CCTV5,https://live.goodiptv.club/api/cqyx.php?id=cctv5HD$重庆有线
CCTV5,http://[2409:8087:2001:20:2800:0:df6e:eb23]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8$IPV6-4K

CCTV5+,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000$百视通
CCTV5+,https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD$重庆有线

CCTV6,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000$百视通
CCTV6,https://live.goodiptv.club/api/cqyx.php?id=cctv6HD$重庆有线
CCTV6,http://[2409:8087:2001:20:2800:0:df6e:eb23]/ott.mobaibox.com/PLTV/4/224/3221228516/index.m3u8$IPV6-4K

CCTV7,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000$百视通
CCTV7,https://live.goodiptv.club/api/cqyx.php?id=cctv7HD$重庆有线

CCTV8,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000$百视通
CCTV8,https://live.goodiptv.club/api/cqyx.php?id=cctv8HD$重庆有线
CCTV8,http://[2409:8087:2001:20:2800:0:df6e:eb27]/ott.mobaibox.com/PLTV/4/224/3221228578/index.m3u8$IPV6-4K

CCTV9,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000$百视通
CCTV9,https://live.goodiptv.club/api/cqyx.php?id=cctv9HD$重庆有线

CCTV10,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000$百视通
CCTV10,https://live.goodiptv.club/api/cqyx.php?id=cctv10HD$重庆有线

CCTV11,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000$百视通
CCTV11,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD$重庆有线

CCTV12,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000$百视通
CCTV12,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD$重庆有线

CCTV13,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000$百视通
CCTV13,https://live.goodiptv.club/api/cqyx.php?id=CCTVNewsHD$重庆有线

CCTV14,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000$百视通
CCTV14,https://live.goodiptv.club/api/cqyx.php?id=cctvseHD$重庆有线

CCTV15,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000$百视通
CCTV15,https://live.goodiptv.club/api/cqyx.php?id=cctv15HD$重庆有线

CCTV16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd4k/15000000$百视通4K
CCTV16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000$百视通
CCTV16,https://live.goodiptv.club/api/cqyx.php?id=cctv16HD$重庆有线

CCTV17,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000$百视通
CCTV17,https://live.goodiptv.club/api/cqyx.php?id=cctv17HD$重庆有线

CCTV4K,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000$百视通


风云剧场,https://live.goodiptv.club/api/cqyx.php?id=fyjcHD$重庆有线
风云音乐,https://live.goodiptv.club/api/cqyx.php?id=fyyyHD$重庆有线
风云足球,https://live.goodiptv.club/api/cqyx.php?id=fyzqHD$重庆有线
怀旧剧场,https://live.goodiptv.club/api/cqyx.php?id=hjjcHD$重庆有线
第一剧场,https://live.goodiptv.club/api/cqyx.php?id=diyijuchangHD$重庆有线
兵器科技,https://live.goodiptv.club/api/cqyx.php?id=bqkjHD$重庆有线
中国天气,https://live.goodiptv.club/api/bestv.php?id=zgqx/1300000$百视通

卫视,#genre#
湖南卫视,https://live.goodiptv.club/api/bestv.php?id=hunanwshd8m/8000000$百视通
湖南卫视,https://live.goodiptv.club/api/cqyx.php?id=hunanHD$重庆有线

江苏卫视,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000$百视通
江苏卫视,https://live.goodiptv.club/api/cqyx.php?id=jiangsuHD$重庆有线

浙江卫视,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000$百视通
浙江卫视,https://live.goodiptv.club/api/cqyx.php?id=zhejiangHD$重庆有线

北京卫视,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000$百视通
北京卫视,https://live.goodiptv.club/api/cqyx.php?id=beijingHD$重庆有线

东方卫视,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000$百视通
东方卫视,https://live.goodiptv.club/api/cqyx.php?id=shanghaiHD$重庆有线

天津卫视,https://live.goodiptv.club/api/bestv.php?id=tjwshd8m/8000000$百视通
天津卫视,https://live.goodiptv.club/api/cqyx.php?id=tianjinHD$重庆有线

安徽卫视,https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000$百视通
安徽卫视,https://live.goodiptv.club/api/cqyx.php?id=anhuiSD$重庆有线

广东卫视,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000$百视通
广东卫视,https://live.goodiptv.club/api/cqyx.php?id=guangdongHD$重庆有线

重庆卫视,https://live.goodiptv.club/api/bestv.php?id=cqws8m/8000000$百视通
重庆卫视,https://live.goodiptv.club/api/cqyx.php?id=chongqingHD$重庆有线

广西卫视,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000$百视通
广西卫视,https://live.goodiptv.club/api/cqyx.php?id=guangxiHD$重庆有线

四川卫视,https://live.goodiptv.club/api/bestv.php?id=scwshd/8000000$百视通
四川卫视,https://live.goodiptv.club/api/cqyx.php?id=sichuanHD$重庆有线

辽宁卫视,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000$百视通
辽宁卫视,https://live.goodiptv.club/api/cqyx.php?id=liaoningHD$重庆有线

